1648670352.216013, sdrt-health/mac:02010b41cdec/state, online
1648670374.37494, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670374.427842, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670374.477221, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670374.477422, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670374.490302, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670374.614269, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670374.657127, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670374.705477, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670374.732302, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670374.732546, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670374.750249, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670374.804438, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670374.804937, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670374.818032, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670374.829866, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.047642, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.047904, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.083957, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670375.111642, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.111956, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670375.124735, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.17307, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670375.199286, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670375.19955, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.212505, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670375.212845, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648670375.974639, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648670376.00982, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648670376.065584, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670376.111575, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670376.165439, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648670376.16572, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670376.194908, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648670376.238332, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648670376.295447, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
