RSSI_Antenna_1,RSSI_Antenna_2,RSSI_Antenna_3,RSSI_Antenna_4,RSSI_Antenna_5,RSSI_Antenna_6,RSSI_Antenna_7,RSSI_Antenna_8,RSSI_Antenna_9,RSSI_Antenna_10,AssetPoint_Longitude,AssetPoint_Latitude
-78.78,-77.7,-170,-51.21,-62.6,-64.15,-66.14,-170,-60.68,-71.05,-8.65994556,40.63139011
-81.0,-77.28,-170,-51.93,-62.25,-63.89,-65.52,-170,-60.44,-70.97,-8.65994657,40.6313837
-80.85,-77.46,-170,-52.73,-62.37,-63.8,-65.58,-55.4,-60.13,-70.87,-8.65994549,40.63137939
-80.82,-77.29,-170,-53.4,-62.44,-63.52,-65.57,-55.69,-59.75,-70.65,-8.65994116,40.63137466
-82.69,-77.18,-170,-53.84,-62.3,-63.44,-65.32,-56.08,-59.29,-70.35,-8.65993709,40.63137096
-82.62,-77.2,-170,-54.29,-62.56,-63.22,-65.31,-55.56,-59.26,-70.4,-8.65993412,40.63136829
-82.63,-77.18,-170,-54.3,-62.63,-63.24,-65.27,-56.24,-59.27,-70.44,-8.65993412,40.63136829
-82.49,-77.1,-170,-54.69,-62.79,-63.04,-65.18,-56.7,-58.99,-70.32,-8.65992897,40.63136541
-82.27,-77.77,-170,-55.21,-62.83,-62.73,-64.98,-57.11,-58.31,-70.17,-8.65992294,40.63136146
-82.12,-78.43,-170,-56.09,-63.18,-62.25,-64.46,-57.9,-58.0,-69.89,-8.65991225,40.63135546
-79.76,-78.59,-170,-56.67,-63.64,-61.42,-64.46,-58.71,-57.51,-69.61,-8.65989841,40.63135142
-79.57,-80.39,-170,-57.43,-63.94,-61.1,-64.34,-59.29,-56.96,-69.37,-8.65988932,40.63134622
-79.31,-80.11,-170,-58.34,-64.06,-60.29,-64.09,-59.98,-56.23,-68.32,-8.65987779,40.63133859
-78.98,-79.43,-170,-58.99,-64.66,-59.76,-63.91,-60.3,-170,-68.68,-8.65986546,40.63133377
-78.66,-77.73,-170,-59.65,-64.94,-58.98,-63.7,-61.16,-170,-68.44,-8.65985452,40.63132742
-78.44,-77.55,-170,-60.14,-64.7,-58.4,-63.51,-61.7,-170,-68.17,-8.65984525,40.63132204
-79.01,-77.41,-170,-60.48,-65.2,-58.07,-63.28,-61.84,-170,-67.43,-8.65984447,40.63131653
-78.13,-77.11,-170,-60.78,-65.24,-57.6,-62.86,-61.77,-170,-67.57,-8.6598399,40.63130688
-77.88,-76.89,-170,-61.57,-65.47,-57.09,-62.5,-62.4,-170,-67.21,-8.65983639,40.63129861
-77.73,-76.7,-170,-62.01,-65.59,-56.7,-62.09,-62.3,-170,-66.95,-8.65983287,40.63129167
-77.27,-76.42,-170,-62.52,-65.76,-55.83,-61.68,-62.62,-170,-66.49,-8.65982686,40.63128314
-77.19,-76.14,-170,-62.98,-65.98,-55.41,-61.36,-63.48,-170,-66.14,-8.65982112,40.63127452
-76.92,-75.65,-170,-63.35,-66.04,-55.05,-61.02,-63.82,-170,-65.7,-8.65981744,40.63126506
-76.64,-75.29,-170,-63.94,-65.02,-54.54,-60.28,-64.12,-170,-65.19,-8.65981253,40.63125504
-76.79,-75.15,-170,-64.06,-66.31,-54.92,-59.81,-64.36,-170,-64.72,-8.6598155,40.63124304
-73.72,-74.52,-170,-65.21,-66.96,-53.53,-59.36,-65.29,-170,-63.66,-8.6597952,40.6312279
-73.29,-72.2,-170,-65.6,-67.21,-52.8,-170,-65.64,-170,-63.09,-8.65978319,40.63122152
-70.47,-67.57,-170,-66.31,-67.91,-51.78,-170,-66.38,-170,-60.03,-8.65976089,40.63120886
-68.05,-68.07,-170,-66.63,-68.1,-54.29,-170,-66.8,-170,-59.28,-8.65975438,40.63119834
-67.84,-68.76,-170,-66.97,-70.29,-170,-170,-68.93,-170,-58.69,-8.65975059,40.63119111
-65.63,-67.53,-170,-69.05,-70.3,-170,-170,-69.23,-170,-58.1,-8.65974972,40.63118318
-65.32,-68.07,-170,-68.4,-70.53,-170,-170,-69.5,-170,-57.26,-8.65974524,40.63117353
-65.14,-67.49,-45.54,-69.67,-70.72,-170,-170,-69.72,-170,-56.59,-8.65974247,40.63116566
-66.6,-66.98,-46.97,-70.07,-70.41,-170,-170,-69.87,-170,-55.58,-8.65973841,40.63115548
-68.1,-66.59,-49.27,-70.49,-71.16,-170,-170,-70.39,-170,-54.15,-8.65972836,40.63114366
-67.74,-65.87,-51.19,-70.82,-71.49,-170,-170,-70.72,-170,-52.95,-8.65971747,40.63113557
-63.26,-65.34,-52.63,-71.08,-71.78,-170,-170,-71.0,-170,-51.94,-8.65970738,40.63112882
-62.85,-66.26,-53.71,-69.23,-71.05,-170,-170,-71.22,-170,-51.13,-8.65969841,40.63112382
-61.92,-64.35,-55.77,-69.81,-72.45,-170,-170,-71.78,-170,-48.69,-8.65968118,40.63110759
-61.75,-63.76,-56.25,-69.88,-72.54,-170,-170,-71.87,-170,-47.84,-8.65967912,40.63110273
-61.73,-63.9,-56.42,-69.92,-72.07,-170,-170,-71.93,-170,-47.44,-8.65967784,40.63110042
-61.38,-63.63,-56.86,-70.15,-72.68,-170,-170,-72.06,-170,-46.48,-8.65967394,40.63109663
-63.28,-63.17,-57.37,-70.15,-72.78,-170,-170,-72.23,-170,-45.6,-8.6596705,40.63108952
-58.94,-60.36,-58.28,-70.61,-73.04,-170,-170,-72.46,-170,-170,-8.65966266,40.63107884
-58.74,-59.92,-58.69,-70.75,-73.07,-170,-170,-72.59,-170,-170,-8.65965745,40.63107404
-58.56,-59.55,-59.25,-70.91,-73.26,-170,-170,-72.76,-170,-170,-8.65965332,40.6310682
-58.4,-59.29,-59.6,-70.95,-73.42,-170,-170,-72.37,-170,-170,-8.65964856,40.63106397
-58.17,-61.1,-60.04,-71.16,-73.41,-170,-170,-73.07,-170,-170,-8.65964284,40.63105988
-58.97,-60.86,-60.36,-71.27,-73.63,-170,-170,-73.06,-170,-170,-8.65963769,40.6310568
-61.86,-62.22,-60.94,-71.49,-73.73,-170,-170,-73.37,-170,-170,-8.65963161,40.63104796
