1648661613.45496, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 280}
1648661632.133444, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661632.154351, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648661632.2292, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661632.22945, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.242811, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648661632.256196, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.303777, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.304005, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.316822, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661632.701141, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661632.74135, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.767132, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661632.767363, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661632.780057, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661632.780311, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661633.079102, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661633.118704, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661633.169247, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661633.169455, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648661633.182414, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648661633.207184, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661633.34379, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648661633.389605, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648661633.432126, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 84
1648661633.460346, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
