1648663115.035755, sdrt-health/mac:02010b41cdec/state, online
1648663124.942286, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.942734, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663124.956989, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663124.987041, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663125.051341, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 94
1648663125.05154, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663125.086744, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663125.137945, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 81
1648663125.186532, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.237156, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.300892, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663125.301311, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.315852, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.316188, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.337516, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.401688, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663125.402135, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663125.414917, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663125.415111, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663125.437144, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663125.502494, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663125.502885, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.517916, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648663125.537242, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.565227, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.56557, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663125.588072, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648663125.588312, sdrt-health/mac:02010b41cdec/antenna/state, connected
1648663125.603278, sdrt-health/mac:02010b41cdec/fw, {"version":"1.8.0","model":"200","hash":"2f556501b58f1dad542af428d7928d18","timestamp":1648663125}
1648663125.63709, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663125.665833, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.66625, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.689647, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663125.717988, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.718408, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.737881, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663125.802404, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.802822, sdrt-health/mac:02010b41cdec/antenna/version, 
1648663125.816898, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663125.817385, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.837189, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663125.887183, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648663125.937245, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663125.965081, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663125.965413, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648663125.987298, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648663126.050987, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.051413, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648663126.067216, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663126.067464, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648663126.09548, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
