1648656208.031961, sdrt-health/mac:02010b41cdec/antenna/power/set, {"power": 250}
1648656218.71573, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.784056, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.78447, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.797351, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.823241, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.850652, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.850875, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.879405, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.936671, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656218.936857, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656218.94882, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.098807, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656219.149807, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 87
1648656219.150345, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.199247, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.262121, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656219.262571, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.275381, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.294201, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656219.321491, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.321782, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656219.353126, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656219.421452, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.421861, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.434238, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.456147, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.48553, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.485897, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.512235, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656219.572277, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656219.573396, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.585824, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.586333, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.633215, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.705574, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.705756, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.717742, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.718117, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.718446, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.759972, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.82389, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.824321, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656219.824637, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.838721, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.838902, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656219.879908, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.939424, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656219.965619, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.965818, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656219.994277, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.040124, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.067282, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.067543, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.090763, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.159038, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.159251, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.202964, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656220.230214, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 83
1648656220.230433, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.230611, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.25374, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 93
1648656220.307557, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656220.334269, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656220.334531, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656220.359702, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656220.589682, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656220.666125, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656220.713955, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656220.777484, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656220.777898, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 85
1648656220.790026, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656220.896277, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656220.944264, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.012278, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.012684, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.025795, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.026186, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.266788, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.293344, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.293549, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.293652, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 97
1648656221.293768, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.293873, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.294025, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.294132, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.294235, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.294359, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.294479, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.294618, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.314836, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.377521, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.377983, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.399662, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.448101, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.448794, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.461635, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.468108, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.474851, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.516227, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.576993, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.577414, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.614555, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.680126, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 91
1648656221.680571, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.693868, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.72687, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.727153, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
1648656221.740426, sdrt-health/mac:02010b41cdec/antenna/tag/e28068940000400386621d4f, 88
